,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Moranbah,AU,-22.0016,148.0466,63.7,87,0,7.67,clear sky
1,Padang,ID,-0.9492,100.3543,75.25,87,100,2.64,moderate rain
2,Viedma,AR,-40.8135,-62.9967,55.67,25,0,14.56,clear sky
3,Hasaki,JP,35.7333,140.8333,59.4,93,100,19.64,moderate rain
4,Albany,US,42.6001,-73.9662,67.64,79,98,7.0,light rain
5,Samarai,PG,-10.6167,150.6667,79.41,81,100,2.51,overcast clouds
6,San Quintin,MX,30.4833,-115.95,70.38,75,86,11.3,overcast clouds
7,Davila,PH,18.4726,120.5763,80.02,84,42,18.7,scattered clouds
8,Rikitea,PF,-23.1203,-134.9692,70.3,71,15,17.43,few clouds
9,Elat,IL,29.5581,34.9482,79.93,44,0,11.59,clear sky
10,San Patricio,US,28.017,-97.5169,91.35,50,0,5.1,clear sky
11,Busselton,AU,-33.65,115.3333,52.79,66,97,5.5,overcast clouds
12,Mount Gambier,AU,-37.8333,140.7667,49.91,93,75,10.36,broken clouds
13,Norman Wells,CA,65.282,-126.8329,30.24,86,100,8.05,overcast clouds
14,Dikson,RU,73.5069,80.5464,33.06,93,100,29.75,overcast clouds
15,Lebu,CL,-37.6167,-73.65,51.24,57,39,20.07,scattered clouds
16,Ahipara,NZ,-35.1667,173.1667,53.46,93,96,7.74,overcast clouds
17,Sagua La Grande,CU,22.8067,-80.0756,90.59,53,52,5.7,moderate rain
18,Burns Lake,CA,54.2331,-125.7533,50.29,73,100,3.89,overcast clouds
19,San Ramon,US,37.7799,-121.978,63.55,81,75,4.61,broken clouds
20,Ushuaia,AR,-54.8,-68.3,46.02,70,75,21.85,broken clouds
21,Port Hardy,CA,50.6996,-127.4199,54.82,80,51,0.4,broken clouds
22,Uvira,CD,-3.4067,29.1458,79.09,53,48,4.36,scattered clouds
23,Mataura,NZ,-46.1927,168.8643,34.59,99,20,3.15,few clouds
24,Port Lincoln,AU,-34.7333,135.8667,54.01,74,8,20.58,clear sky
25,Bluff,NZ,-46.6,168.3333,41.07,87,14,9.78,few clouds
26,General Roca,AR,-39.0333,-67.5833,60.03,16,4,6.8,clear sky
27,Coihaique,CL,-45.5752,-72.0662,44.55,57,100,9.22,overcast clouds
28,Hilo,US,19.7297,-155.09,82.27,84,0,4.0,clear sky
29,Sfantu Gheorghe,RO,45.8667,25.7833,50.94,83,95,3.42,overcast clouds
30,Lamu,KE,-2.2717,40.902,75.42,81,100,13.98,overcast clouds
31,Avarua,CK,-21.2078,-159.775,75.25,88,75,12.66,broken clouds
32,Carnarvon,AU,-24.8667,113.6333,65.46,60,0,20.45,clear sky
33,Ribeira Grande,PT,38.5167,-28.7,74.77,78,40,11.5,scattered clouds
34,Praia Da Vitoria,PT,38.7333,-27.0667,75.76,81,59,12.84,broken clouds
35,Mar Del Plata,AR,-38.0023,-57.5575,55.94,51,0,17.27,clear sky
36,Hithadhoo,MV,-0.6,73.0833,81.59,70,85,12.59,overcast clouds
37,Pevek,RU,69.7008,170.3133,19.4,80,99,6.78,overcast clouds
38,Dalvik,IS,65.9702,-18.5286,39.13,97,97,7.58,overcast clouds
39,Suez,EG,29.9737,32.5263,72.9,62,0,13.6,clear sky
40,Codrington,AU,-38.2667,141.9667,49.75,90,48,14.0,scattered clouds
41,Coquimbo,CL,-29.9533,-71.3436,62.33,67,75,9.22,broken clouds
42,Butaritari,KI,3.0707,172.7902,82.0,71,53,17.94,broken clouds
43,Sobolevo,RU,54.4299,31.8996,42.22,75,14,0.92,few clouds
44,Jamestown,US,42.097,-79.2353,51.39,94,100,6.91,overcast clouds
45,Arcachon,FR,44.5875,-1.0519,66.25,82,75,9.22,broken clouds
46,Malkara,TR,40.89,26.9011,57.97,61,77,11.95,broken clouds
47,Westport,US,41.1415,-73.3579,71.46,68,40,11.01,scattered clouds
48,Bedford,GB,52.1346,-0.4663,58.8,74,40,0.0,scattered clouds
49,Mahebourg,MU,-20.4081,57.7,71.89,73,75,12.66,broken clouds
50,Shache,CN,38.4167,77.2406,58.64,18,2,6.24,clear sky
51,Kyzyl-Suu,KG,42.3414,78.0056,47.98,32,4,7.16,clear sky
52,Sukhumi,GE,43.0033,41.0153,59.18,64,100,4.29,overcast clouds
53,Voznesenye,RU,61.0106,35.4781,41.29,80,47,8.48,scattered clouds
54,Wuda,CN,39.4994,106.7117,51.22,43,77,1.25,broken clouds
55,Genthin,DE,52.4,12.1667,57.06,68,100,2.91,overcast clouds
56,Great Falls,US,47.5002,-111.3008,56.41,53,0,9.22,clear sky
57,Port Alfred,ZA,-33.5906,26.891,67.17,95,64,8.01,broken clouds
58,Porbandar,IN,21.6422,69.6093,84.54,49,8,12.64,clear sky
59,Punta Arenas,CL,-53.15,-70.9167,48.31,49,75,16.11,broken clouds
60,Ponta Do Sol,PT,32.6667,-17.1,74.71,74,16,2.04,few clouds
61,Flinders,AU,-34.5833,150.8552,64.18,86,100,7.0,moderate rain
62,Naryan-Mar,RU,67.6713,53.087,36.59,90,24,8.39,few clouds
63,Vaini,TO,-21.2,-175.2,69.96,94,75,0.0,light rain
64,Victoria,HK,22.2855,114.1577,80.38,75,52,5.99,broken clouds
65,Georgetown,MY,5.4112,100.3354,79.9,91,20,3.44,light rain
66,Kodiak,US,57.79,-152.4072,35.11,48,0,9.22,clear sky
67,Klaksvik,FO,62.2266,-6.589,45.52,82,98,9.91,overcast clouds
68,Qaanaaq,GL,77.484,-69.3632,16.16,66,100,10.13,overcast clouds
69,Joniskis,LT,56.2403,23.6153,50.92,78,64,7.54,broken clouds
70,Chokurdakh,RU,70.6333,147.9167,8.2,96,94,4.7,overcast clouds
71,Fare,PF,-16.7,-151.0167,77.86,77,24,11.92,few clouds
72,Kapaa,US,22.0752,-159.319,75.18,92,100,8.05,light rain
73,Wajima,JP,37.4,136.9,63.23,76,35,5.06,scattered clouds
74,Saint-Paul,RE,-21.0096,55.2707,71.71,76,26,1.9,scattered clouds
75,Atuona,PF,-9.8,-139.0333,77.22,77,64,22.48,broken clouds
76,Constitucion,CL,-35.3333,-72.4167,59.02,43,10,18.39,clear sky
77,Tran,BG,42.8353,22.6517,54.59,78,94,3.38,overcast clouds
78,East London,ZA,-33.0153,27.9116,67.14,94,75,24.16,broken clouds
79,Longyearbyen,SJ,78.2186,15.6401,28.24,69,20,0.0,few clouds
80,Touros,BR,-5.1989,-35.4608,84.36,60,14,18.48,few clouds
81,Cherskiy,RU,68.75,161.3,6.62,91,100,5.32,overcast clouds
82,Talnakh,RU,69.4865,88.3972,27.21,96,98,6.26,overcast clouds
83,New Norfolk,AU,-42.7826,147.0587,54.9,71,100,8.01,overcast clouds
84,Oga,IT,46.4631,10.347,52.48,78,100,2.26,overcast clouds
85,Salalah,OM,17.0151,54.0924,80.69,78,75,3.44,broken clouds
86,Saskylakh,RU,71.9167,114.0833,17.94,97,97,5.12,overcast clouds
87,Hobart,AU,-42.8794,147.3294,58.86,85,40,17.27,light intensity shower rain
88,Geraldton,AU,-28.7667,114.6,48.61,81,0,10.36,clear sky
89,Acobamba,PE,-11.3525,-75.6594,68.31,33,18,6.93,few clouds
90,Cidreira,BR,-30.1811,-50.2056,70.02,73,3,8.1,clear sky
91,Yellowknife,CA,62.456,-114.3525,36.12,75,75,31.07,broken clouds
92,Cape Town,ZA,-33.9258,18.4232,64.27,70,75,11.5,broken clouds
93,Port Elizabeth,ZA,-33.918,25.5701,69.1,97,75,19.57,broken clouds
94,Vila Velha,BR,-20.3297,-40.2925,84.15,61,20,16.11,few clouds
95,Kruisfontein,ZA,-34.0033,24.7314,66.88,93,100,14.61,overcast clouds
96,Nyazepetrovsk,RU,56.0531,59.6028,45.39,66,99,5.19,overcast clouds
97,Bathsheba,BB,13.2167,-59.5167,88.41,70,40,16.11,scattered clouds
98,Luderitz,NA,-26.6481,15.1594,61.81,80,1,14.12,clear sky
99,Saint-Philippe,RE,-21.3585,55.7679,71.19,74,13,10.36,few clouds
100,Menongue,AO,-14.6585,17.691,81.1,21,90,1.32,overcast clouds
101,Srednekolymsk,RU,67.45,153.6833,12.79,93,100,5.03,overcast clouds
102,Olafsvik,IS,64.8945,-23.7142,40.91,77,79,17.96,broken clouds
103,Takoradi,GH,4.8845,-1.7554,79.66,81,56,11.9,light rain
104,Komsomolskiy,UZ,40.4272,71.7189,57.92,44,37,6.91,scattered clouds
105,Cozumel,MX,20.5083,-86.9458,89.67,70,75,5.75,broken clouds
106,Mokhsogollokh,RU,61.4681,128.9203,24.21,97,96,3.47,overcast clouds
107,Yura,PE,-16.2522,-71.6797,64.92,13,0,9.22,clear sky
108,Naze,JP,28.3667,129.4833,74.32,86,57,25.03,broken clouds
109,Hermanus,ZA,-34.4187,19.2345,60.8,83,71,4.94,broken clouds
110,Weinan,CN,34.5036,109.5089,58.68,75,100,3.94,overcast clouds
111,Adrar,MR,20.5022,-10.0711,91.6,19,100,10.09,overcast clouds
112,Aurangabad,IN,19.8833,75.3333,73.18,85,58,9.46,broken clouds
113,Aksu,CN,41.1231,80.2644,55.89,29,0,1.72,clear sky
114,Saint George,US,37.1041,-113.5841,73.8,24,0,1.01,clear sky
115,Bloomfield,US,40.8068,-74.1854,69.91,85,100,13.8,light rain
116,Luganville,VU,-15.5333,167.1667,76.03,84,98,5.5,overcast clouds
117,Acapulco,MX,16.8634,-99.8901,85.82,66,100,5.75,light rain
118,Providencia,MX,28.7167,-111.5833,88.41,48,94,5.1,overcast clouds
119,Dobrinka,RU,52.1653,40.4731,42.82,77,87,6.8,overcast clouds
120,Bethel,US,41.3712,-73.414,70.92,71,100,9.22,overcast clouds
121,Ilulissat,GL,69.2167,-51.1,24.82,93,75,3.44,broken clouds
122,La Ronge,CA,55.1001,-105.2842,37.62,48,20,17.27,few clouds
123,Bredasdorp,ZA,-34.5322,20.0403,60.13,76,97,6.98,overcast clouds
124,Lazaro Cardenas,MX,17.9583,-102.2,83.91,75,99,5.03,light rain
125,Isangel,VU,-19.55,169.2667,72.19,73,96,13.02,overcast clouds
126,Taunsa,PK,30.7048,70.6505,80.22,22,0,3.42,clear sky
127,Saint-Augustin,CA,51.226,-58.6502,48.15,71,88,7.14,overcast clouds
128,Chuy,UY,-33.6971,-53.4616,60.06,69,96,20.11,light rain
129,Shiraz,IR,29.6036,52.5388,65.64,24,0,0.0,clear sky
130,Pisco,PE,-13.7,-76.2167,65.01,72,100,10.36,overcast clouds
131,Hamilton,US,39.1834,-84.5333,63.21,45,0,13.8,clear sky
132,Nome,US,64.5011,-165.4064,19.47,79,0,0.0,clear sky
133,Atambua,ID,-9.1061,124.8925,75.78,82,62,2.39,broken clouds
134,Chicama,PE,-7.8447,-79.1469,61.34,59,43,10.13,scattered clouds
135,Torbay,CA,47.6666,-52.7314,61.88,66,20,6.91,few clouds
136,Kilindoni,TZ,-7.9139,39.6668,76.44,71,11,14.52,few clouds
137,Kefar Shemaryahu,IL,32.1856,34.8219,76.98,59,11,7.07,few clouds
138,Kavaratti,IN,10.5669,72.642,81.84,73,19,4.72,few clouds
139,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,61,0,24.16,clear sky
140,Coolum Beach,AU,-26.5333,153.1,67.1,96,74,5.95,broken clouds
141,Dalianwan,CN,39.0286,121.695,55.44,82,0,0.0,clear sky
142,Tucuman,AR,-26.8241,-65.2226,86.0,21,0,12.66,clear sky
143,Faanui,PF,-16.4833,-151.75,77.94,78,19,13.56,light rain
144,Upernavik,GL,72.7868,-56.1549,15.4,70,68,4.36,broken clouds
145,Chengam,IN,12.3,78.8,74.64,92,37,3.13,scattered clouds
146,Mopipi,BW,-21.1833,24.8833,84.52,13,6,7.16,clear sky
147,Provideniya,RU,64.3833,-173.3,23.23,68,4,4.34,clear sky
148,Mbalmayo,CM,3.5167,11.5,70.74,95,100,2.17,moderate rain
149,Kavieng,PG,-2.5744,150.7967,80.96,76,24,10.2,few clouds
150,Verkhoyansk,RU,67.5447,133.385,-2.51,99,84,1.16,broken clouds
151,Tessalit,ML,20.1986,1.0114,96.96,7,25,5.23,scattered clouds
152,Tasiilaq,GL,65.6145,-37.6368,33.96,79,100,8.34,overcast clouds
153,Santo Tomas,PH,14.1079,121.1414,81.55,92,100,2.26,overcast clouds
154,Kamaishi,JP,39.2667,141.8833,54.16,83,68,6.06,broken clouds
155,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,74.75,48,0,5.23,clear sky
156,Bentiu,SS,9.2333,29.8333,81.61,67,83,5.12,broken clouds
157,Batticaloa,LK,7.7102,81.6924,79.68,79,94,2.3,overcast clouds
158,Elsdorf,DE,50.9374,6.5683,58.71,88,75,1.14,light rain
159,Barrow,US,71.2906,-156.7887,26.62,68,75,9.22,broken clouds
160,Kirakira,SB,-10.4544,161.9205,79.18,79,61,6.17,broken clouds
161,Omagh,GB,54.6,-7.3,53.35,86,92,6.67,overcast clouds
162,Walvis Bay,NA,-22.9575,14.5053,61.75,77,38,9.22,scattered clouds
163,Udachnyy,RU,66.4167,112.4,21.52,96,100,7.07,overcast clouds
164,Qena,EG,26.1615,32.7183,83.1,23,0,12.73,clear sky
165,Hokitika,NZ,-42.7167,170.9667,44.8,68,0,6.62,clear sky
166,Husavik,IS,66.0449,-17.3389,36.28,96,100,6.08,overcast clouds
167,Teya,RU,60.3778,92.6267,30.47,92,94,4.43,overcast clouds
168,Parakou,BJ,9.3372,2.6303,76.64,85,98,2.06,light rain
169,Fez,MA,34.0372,-4.9998,77.25,46,20,5.75,few clouds
170,Leningradskiy,RU,69.3833,178.4167,13.73,74,72,5.79,broken clouds
171,Winnemucca,US,40.973,-117.7357,60.85,29,0,3.44,clear sky
172,Khatanga,RU,71.9667,102.5,-2.47,100,52,5.08,broken clouds
173,Kudahuvadhoo,MV,2.6708,72.8944,77.65,89,100,20.78,overcast clouds
174,Annau,TM,37.8876,58.516,69.3,40,75,2.3,broken clouds
175,Ketchikan,US,55.3422,-131.6461,54.07,94,100,14.97,light rain
176,Kurilsk,RU,45.2333,147.8833,49.78,84,97,7.96,overcast clouds
177,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,93,75,2.3,broken clouds
178,Puerto Ayora,EC,-0.7393,-90.3518,75.16,95,94,1.99,overcast clouds
179,Semey,KZ,50.4111,80.2275,45.91,64,52,9.33,broken clouds
180,Nikolskoye,RU,59.7035,30.7861,42.69,84,97,4.79,overcast clouds
181,Kamakwie,SL,9.5,-12.2333,85.08,76,85,1.68,overcast clouds
182,Jasper,US,37.2001,-94.3502,68.68,25,0,19.57,clear sky
183,Izyum,UA,49.2088,37.2485,48.25,70,100,5.19,overcast clouds
184,Narrabri,AU,-30.3167,149.7833,69.53,65,100,10.0,overcast clouds
185,Show Low,US,34.2542,-110.0298,69.08,26,0,4.61,clear sky
186,Gizo,SB,-8.103,156.8419,81.09,78,96,6.24,light rain
187,Filadelfia,US,39.9523,-75.1638,71.15,86,100,11.5,overcast clouds
188,Laguna,US,38.421,-121.4238,76.96,75,0,4.61,clear sky
189,Hofn,IS,64.2539,-15.2082,42.82,70,20,5.75,few clouds
190,Labuhan,ID,-6.8844,112.2051,78.57,82,100,9.17,light rain
191,Erenhot,CN,43.6475,111.9767,50.74,27,100,9.33,overcast clouds
192,Bonanza,NI,14.0289,-84.591,88.36,53,100,3.78,overcast clouds
193,Axim,GH,4.8699,-2.2405,79.38,81,68,9.98,broken clouds
194,Asau,RO,46.4333,26.4,51.28,99,100,2.33,overcast clouds
195,Maniitsoq,GL,65.4167,-52.9,30.24,60,1,3.13,clear sky
196,Ondjiva,AO,-17.0667,15.7333,86.09,17,88,4.0,overcast clouds
197,Sabang,ID,5.8933,95.3214,81.28,77,30,20.76,scattered clouds
198,Lichinga,MZ,-13.3128,35.2406,74.43,27,35,1.86,scattered clouds
199,Monrovia,LR,6.3005,-10.7969,83.97,76,98,7.54,overcast clouds
200,Kununurra,AU,-15.7667,128.7333,78.78,73,26,3.44,scattered clouds
201,Malanje,AO,-9.5402,16.341,72.61,66,93,5.91,overcast clouds
202,Chunhuhub,MX,19.55,-88.6833,89.47,53,100,3.69,overcast clouds
203,Labytnangi,RU,66.6572,66.4183,37.65,95,100,5.61,overcast clouds
204,Tres Picos,MX,15.8667,-93.5333,87.17,68,88,6.08,overcast clouds
205,Maceio,BR,-9.6658,-35.7353,83.64,61,75,12.66,broken clouds
206,Kenai,US,60.5544,-151.2583,21.25,100,0,4.61,clear sky
207,Yagodnoye,RU,62.55,149.6667,8.37,95,97,3.24,overcast clouds
208,Narasannapeta,IN,18.4167,84.05,78.67,86,72,4.23,broken clouds
209,Rawson,AR,-43.3002,-65.1023,51.35,29,0,3.04,clear sky
210,Lavrentiya,RU,65.5833,-171.0,23.14,55,13,4.76,few clouds
211,Kloulklubed,PW,7.0419,134.2556,81.1,79,100,16.73,overcast clouds
212,Zhigansk,RU,66.7697,123.3711,24.31,98,100,0.83,light snow
213,Nouadhibou,MR,20.931,-17.0347,76.98,57,98,18.41,overcast clouds
214,Bejucal,CU,22.9286,-82.3886,88.83,62,40,6.91,scattered clouds
215,Odessa,UA,46.4775,30.7326,56.93,50,100,6.64,overcast clouds
216,Severo-Kurilsk,RU,50.6789,156.125,43.27,72,71,11.1,broken clouds
217,Sisimiut,GL,66.9395,-53.6735,32.31,79,83,16.22,broken clouds
218,Buchanan,LR,5.8808,-10.0467,80.98,75,95,7.07,overcast clouds
219,Kisangani,CD,0.5167,25.2,77.52,76,80,0.85,broken clouds
220,Hobyo,SO,5.3505,48.5268,77.97,83,70,20.51,broken clouds
221,Ceres,US,37.5949,-120.9577,65.97,67,0,8.05,clear sky
222,Samana,DO,19.2056,-69.3369,88.02,74,40,6.91,scattered clouds
223,Sitka,US,57.0531,-135.33,57.9,96,100,18.54,moderate rain
224,Berlevag,NO,70.8578,29.0864,39.2,86,69,11.5,broken clouds
225,Los Llanos De Aridane,ES,28.6585,-17.9182,73.13,69,20,16.11,few clouds
226,Kieta,PG,-6.2167,155.6333,77.95,84,100,2.68,overcast clouds
227,Xinxiang,CN,35.3089,113.8672,61.92,42,99,3.02,overcast clouds
228,Xuddur,SO,4.1213,43.8894,77.11,65,52,12.26,broken clouds
229,Sibenik,HR,43.7272,15.9058,64.06,73,100,3.24,overcast clouds
230,Herat,AF,34.5,62.0,64.96,13,0,9.91,clear sky
231,Rocha,UY,-34.4833,-54.3333,54.79,65,100,16.8,overcast clouds
232,Dudinka,RU,69.4058,86.1778,27.63,83,100,9.08,overcast clouds
233,Marsaxlokk,MT,35.8419,14.5431,74.08,79,100,4.65,overcast clouds
234,Palmer,US,42.1584,-72.3287,72.5,78,95,3.0,overcast clouds
235,Tommot,RU,58.9564,126.2925,24.85,96,92,2.44,overcast clouds
236,Altay,CN,47.8667,88.1167,41.5,46,71,4.36,broken clouds
237,Lagoa,PT,39.05,-27.9833,70.86,74,23,7.7,few clouds
